time,step,reward,terminated,truncated,fmu_status,fmu_error,failure_type,transition_valid,requested_u_tp,requested_u_battery,requested_caes_mode,requested_caes_magnitude,decoded_u_tp,decoded_u_battery,decoded_u_caes,rt_economic_cashflow_total,rt_economic_cashflow_delta,rt_economic_reward,rt_raw_total_cost,rt_normalized_cost,rt_cost_reference,rt_cost_reference_missing,rt_terminal_soc_bonus,rt_reward,rt_terminal_soc_l1_error,rt_terminal_soc_l2_error,rt_terminal_soc_tolerance,rt_terminal_soc_satisfied,rt_soc_shaping_reward,rt_soc_shaping_potential,rt_soc_shaping_absolute,rt_soc_shaping_coef,rt_soc_l1_prev,rt_market_settlement_enabled,rt_market_grid_cashflow,rt_market_grid_cost,rt_market_buy_cost,rt_market_sell_revenue,rt_market_energy_buy_mwh,rt_market_energy_sell_mwh,rt_market_buy_yuan_per_kwh,rt_market_sell_yuan_per_kwh,rt_p_grid_mw,rt_fmu_grid_cashflow_delta,rt_economic_cashflow_wind,rt_economic_cashflow_delta_wind,rt_raw_wind_cost,rt_economic_cashflow_pv,rt_economic_cashflow_delta_pv,rt_raw_pv_cost,rt_economic_cashflow_thermal,rt_economic_cashflow_delta_thermal,rt_raw_thermal_cost,rt_economic_cashflow_battery,rt_economic_cashflow_delta_battery,rt_raw_battery_cost,rt_economic_cashflow_caes,rt_economic_cashflow_delta_caes,rt_raw_caes_cost,rt_economic_cashflow_load,rt_economic_cashflow_delta_load,rt_raw_load_cost,rt_economic_cashflow_grid,rt_economic_cashflow_delta_grid,rt_raw_grid_cost,obs_battery_soc,obs_caes_gas_soc,obs_caes_hot_soc,obs_caes_cold_soc,obs_caes_gas_pressure,obs_caes_gas_temperature,obs_caes_hot_temperature,obs_caes_cold_temperature,obs_p_thermal,obs_p_battery,obs_p_caes,obs_p_grid,obs_p_wind_available,obs_p_wind_actual,obs_p_pv_available,obs_p_pv_actual,obs_p_load_actual,obs_p_curtailment,obs_p_unserved,u_tp_dynamic_low,u_tp_dynamic_high,u_battery_dynamic_low,u_battery_dynamic_high,caes_discharge_allowed,caes_idle_allowed,caes_charge_allowed,caes_locked_mode,caes_locked_steps_completed,caes_locked_steps_remaining
3600.0,0,0.2699087659262258,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,8580.213810000014,57614.514498272416,0.3680501792773159,-57614.514498272416,-0.3680501792773159,156539.83544146415,0.0,0.0,0.2699087659262258,0.023648533337612077,0.0005592531290201498,0.05,1.0,-0.09814141335109011,-0.0945941333504483,-0.003547280000641811,4.0,0.0,1.0,10515.583548272396,-10515.583548272396,0.0,10515.583548272396,0.0,53.661340199999984,0.648024,0.195962,-53.661340199999984,-38518.71714,0.0,0.0,-0.0,0.0,0.0,-0.0,-59999.99999999999,-59999.99999999999,59999.99999999999,0.0,0.0,-0.0,0.0,0.0,-0.0,107098.93095000001,107098.93095000001,-107098.93095000001,-38518.71714,10515.583548272396,-10515.583548272396,0.5,0.8263514637947083,0.5,0.5,8263514.5,272.8417053222656,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-53661340.0,0.0,0.0,-0.0,-0.0,203661344.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
7200.0,1,0.3105893430109808,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,18214.079790000025,58095.48654951601,0.37112270104078393,-58095.48654951601,-0.37112270104078393,156539.83544146415,0.0,0.0,0.3105893430109808,0.03738011840487987,0.0013972732519628387,0.05,1.0,-0.060533358029803155,-0.05492634026907117,-0.005607017760731981,4.0,0.023648533337612077,1.0,16264.816449515996,-16264.816449515996,0.0,16264.816449515996,0.0,86.49887759999999,0.57073,0.188035,-86.49887759999999,-32196.804120000008,0.0,0.0,-0.0,0.0,0.0,-0.0,-119999.99999999999,-59999.99999999999,59999.99999999999,0.0,0.0,-0.0,0.0,0.0,-0.0,208929.60105,101830.67009999999,-101830.67009999999,-70715.52126000001,16264.816449515996,-16264.816449515996,0.5,0.8126198649406433,0.5,0.5,8126199.0,268.3078308105469,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-86498880.0,0.0,0.0,-0.0,-0.0,236498880.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
10800.0,2,0.3984748646805618,False,False,ok,,,True,0.9549999833106995,0.800000011920929,2,0.8999999761581421,0.9549999833106995,0.800000011920929,0.9859999966621399,-58694.80866952008,160998.74292327004,1.0284841712605046,-160998.74292327004,-1.0284841712605046,156539.83544146415,0.0,0.0,0.3984748646805618,0.18783850125288248,0.021554853855805203,0.05,0.0,-0.6300093065799428,-0.6018335313920105,-0.02817577518793237,4.0,0.03738011840487987,1.0,59297.30309759334,-59297.30309759334,0.0,59297.30309759334,0.0,301.968758294809,0.256041,0.196369,-301.968758294809,-178610.3282851968,0.0,0.0,-0.0,0.0,0.0,-0.0,-177569.99909877774,-57569.99909877776,57569.99909877776,14400.000214576721,14400.000214576721,-14400.000214576721,26621.999909877777,26621.999909877777,-26621.999909877777,327179.0398499999,118249.43879999989,-118249.43879999989,-249325.8495451968,59297.30309759334,-59297.30309759334,0.6439999938011169,0.8244869709014893,0.5092774629592896,0.4909519851207733,8244869.5,267.63836669921875,474.5345153808594,312.4317321777344,-143250000.0,80000000.0,147900000.0,-301968768.0,0.0,-0.0,-0.0,-0.0,217318752.0,2.9802322387695312e-08,0.0,0.85,1.0,-1.0,1.0,True,True,True,2,1,3
14400.0,3,0.2273559983131015,False,False,ok,,,True,0.9415000081062317,0.800000011920929,2,0.8999999761581421,0.9415000081062317,0.800000011920929,0.9859999966621399,-143301.18428728526,147424.83487699184,0.9417720062195879,-147424.83487699184,-0.9417720062195879,156539.83544146415,0.0,0.0,0.2273559983131015,0.3531975934742208,0.09327132649657738,0.05,0.0,-0.7144160079064864,-0.6614363688853533,-0.05297963902113312,4.0,0.18783850125288248,1.0,49756.457526309736,-49756.457526309736,0.0,49756.457526309736,0.0,319.2852629754791,0.269211,0.155837,-319.2852629754791,-182274.75296844728,0.0,0.0,-0.0,0.0,0.0,-0.0,-234140.99943637845,-56571.00033760071,56571.00033760071,30400.0004529953,16000.00023841858,-16000.00023841858,56201.999809741974,29579.999899864197,-29579.999899864197,435838.4174000001,108659.37755000021,-108659.37755000021,-431600.6025136441,49756.457526309736,-49756.457526309736,0.8040000200271606,0.8392775654792786,0.5195412635803223,0.48106610774993896,8392776.0,267.4525451660156,474.5344543457031,311.632080078125,-141225008.0,80000000.0,147900000.0,-319285248.0,0.0,0.0,-0.0,-0.0,232610256.0,-0.0,0.0,0.8049999833106994,1.0,-1.0,1.0,False,False,True,,0,0
18000.0,4,0.12647145239751845,False,False,ok,,,True,0.9374499917030334,0.22999997437000275,1,0.0,0.9374499917030334,0.22999997437000275,0.0,-155822.5599419612,86051.89935011251,0.549712468442516,-86051.89935011251,-0.549712468442516,156539.83544146415,0.0,0.0,0.12647145239751845,0.4424172023956339,0.13308905558051132,0.05,0.0,-0.42324101604499753,-0.3568784356856525,-0.06636258035934509,4.0,0.3531975934742208,1.0,17320.06764822537,-17320.06764822537,0.0,17320.06764822537,0.0,106.47037128154524,0.217778,0.162675,-106.47037128154524,-81253.20735656307,0.0,0.0,-0.0,0.0,0.0,-0.0,-290412.2990369797,-56271.299600601225,56271.299600601225,36140.00001549721,5739.999562501907,-5739.999562501907,59159.99979972839,2957.9999899864197,-2957.9999899864197,552143.5491499999,116305.13174999977,-116305.13174999977,-512853.80987020716,17320.06764822537,-17320.06764822537,0.8614000082015991,0.8251727223396301,0.5161775350570679,0.45998767018318176,8251727.0,264.52313232421875,474.5345458984375,309.927001953125,-140617504.0,22999998.0,0.0,-106470368.0,0.0,0.0,-0.0,-0.0,224087872.0,-0.0,0.0,0.7915000081062317,1.0,-1.0,0.2299999773502298,True,True,False,,0,0
21600.0,5,0.9583211623805248,False,False,ok,,,True,0.9362350106239319,-0.5285000205039978,2,0.8999999761581421,0.9362350106239319,-0.5285000205039978,0.9859999966621399,-194791.6512881695,91389.62385781459,0.5838106549689611,-91389.62385781459,-0.5838106549689611,156539.83544146415,0.0,0.0,0.9583211623805248,0.3361827234146921,0.06765294065494226,0.05,0.0,0.3745105074115636,0.4249379159237674,-0.05042740851220381,4.0,0.4424172023956339,1.0,27471.07896125096,-27471.07896125096,0.0,27471.07896125096,0.0,173.74442775533143,0.182008,0.158112,-173.74442775533143,-102887.63624277193,0.0,0.0,-0.0,0.0,0.0,-0.0,-346593.6895608902,-56181.39052391052,56181.39052391052,17573.999226093292,-18566.000789403915,18566.000789403915,85781.99970960617,26621.999909877777,-26621.999909877777,664187.4854499993,112043.93629999948,-112043.93629999948,-615741.4461129791,27471.07896125096,-27471.07896125096,0.7540823221206665,0.842178225517273,0.5254075527191162,0.4511289894580841,8421782.0,265.5789794921875,474.53448486328125,309.2104187011719,-140435248.0,-52850004.0,147900000.0,-173744432.0,0.0,0.0,-0.0,-0.0,219129680.0,-0.0,0.0,0.7874499917030334,1.0,-1.0,-0.057000000774867214,True,True,True,,0,0
25200.0,6,0.24775287822785536,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,-189645.2839831232,56432.2953018175,0.3604979853381765,-56432.2953018175,-0.3604979853381765,156539.83544146415,0.0,0.0,0.24775287822785536,0.35119903632990107,0.06379685503525545,0.05,0.0,-0.11274510711032115,-0.06006525166083598,-0.05267985544948516,4.0,0.3361827234146921,1.0,7147.743366261625,-7147.743366261625,0.0,7147.743366261625,0.0,52.94585496597525,0.538212,0.135001,-52.94585496597525,-44138.18463050958,0.0,0.0,-0.0,-1506.8788586709795,-1506.8788586709795,1506.8788586709795,-406211.0996246338,-59617.41006374359,59617.41006374359,15459.999144077301,-2114.000082015991,2114.000082015991,88739.99969959259,2957.9999899864197,-2957.9999899864197,773752.326399999,109564.84094999963,-109564.84094999963,-659879.6307434887,7147.743366261625,-7147.743366261625,0.7416470646858215,0.8295962810516357,0.5220625996589661,0.4329143464565277,8295963.0,263.1437072753906,472.9945373535156,307.7370300292969,-150000000.0,0.0,0.0,-52945856.0,0.0,0.0,-13398437.0,-13398437.0,216344288.0,-0.0,0.0,0.7862350106239319,1.0,-1.0,0.4795882587923655,True,True,False,,0,0
28800.0,7,-0.21714691471208558,False,False,ok,,,True,1.0,-0.800000011920929,0,0.8999999761581421,1.0,-0.800000011920929,-0.3970000159740449,-193430.9600352885,-135150.54404628553,-0.8633619913112989,135150.54404628553,0.8633619913112989,156539.83544146415,0.0,0.0,-0.21714691471208558,0.18279061896876891,0.010325617367584009,0.05,0.0,0.6462150765992133,0.6736336694445286,-0.027418592845315337,4.0,0.35119903632990107,1.0,-124758.69609069079,124758.69609069079,124758.69609069079,0.0,143.81919825456677,0.0,0.867469,0.077916,143.81919825456677,6606.1719034294365,-17.53094653597131,-17.53094653597131,17.53094653597131,-9815.340575977785,-8308.461717306805,8308.461717306805,-466211.0996246338,-60000.0,60000.0,-13340.001285076141,-28800.000429153442,28800.000429153442,67301.99883699417,-21438.00086259842,21438.00086259842,881924.4723999985,108172.14599999948,-108172.14599999948,-653273.4588400592,-124758.69609069079,124758.69609069079,0.5722352862358093,0.8167980909347534,0.5161651372909546,0.4388117790222168,8167980.5,261.8590087890625,470.85211181640625,308.0816650390625,-150000000.0,-80000000.0,-59550004.0,143819200.0,-2162042.25,-2162042.25,-57259148.0,-57259148.0,205152000.0,-0.0,0.0,0.85,1.0,-1.0,0.5417647317928359,True,True,False,0,1,3
32400.0,8,-1.4687655113013511,False,False,ok,,,True,1.0,-0.800000011920929,0,0.8999999761581421,1.0,-0.800000011920929,-0.3970000159740449,-212162.26221660062,-199568.01386238425,-1.2748704717848631,199568.01386238425,1.2748704717848631,156539.83544146415,0.0,0.0,-1.4687655113013511,0.22290542539555752,0.01835375348512202,0.05,0.0,-0.19389503951648807,-0.16045922570715443,-0.03343581380933363,4.0,0.18279061896876891,1.0,-163782.41661333037,163782.41661333037,163782.41661333037,0.0,192.1539468684582,0.0,0.85235,0.059866,192.1539468684582,17054.29506774177,-3536.2840041798545,-3518.753057643883,3518.753057643883,-28838.181282107827,-19022.840706130042,19022.840706130042,-526211.0996246338,-60000.0,60000.0,-45340.0017619133,-32000.00047683716,32000.00047683716,43481.99787855148,-23820.000958442688,23820.000958442688,984500.4703499989,102575.99795000046,-102575.99795000046,-636219.1637723175,-163782.41661333037,163782.41661333037,0.3840000033378601,0.8073115348815918,0.5095969438552856,0.44537997245788574,8073115.5,261.9407043457031,468.4598388671875,308.4600524902344,-150000000.0,-80000000.0,-59550004.0,192153952.0,-22277342.0,-22277342.0,-98847216.0,-98847216.0,218520624.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,False,False,0,2,2
36000.0,9,-1.1499102709730302,False,False,ok,,,True,1.0,0.0,0,0.0,1.0,0.0,-1.0,-238163.6484922394,-162295.84944318363,-1.0367702826918574,162295.84944318363,1.0367702826918574,156539.83544146415,0.0,0.0,-1.1499102709730302,0.24211125056949467,0.023784391012985778,0.05,0.0,-0.1131399882811728,-0.07682330069574861,-0.0363166875854242,4.0,0.22290542539555752,1.0,-114350.00603004797,114350.00603004797,114350.00603004797,0.0,242.59024426629549,0.0,0.471371,0.024196,242.59024426629549,21944.45713749691,-13586.902433676249,-10050.618429496393,10050.618429496393,-56411.71562221917,-27573.534340111342,27573.534340111342,-586211.0996246338,-60000.0,60000.0,-48540.001809597015,-3200.000047683716,3200.000047683716,-12900.002217292782,-56382.00009584427,56382.00009584427,1093760.7798499994,109260.30950000044,-109260.30950000044,-614274.7066348206,-114350.00603004797,114350.00603004797,0.3651764690876007,0.7877353429794312,0.49641701579093933,0.45855993032455444,7877353.5,261.9288024902344,463.6403503417969,309.2033996582031,-150000000.0,0.0,-150000000.0,242590240.0,-37318364.0,-37318364.0,-124143960.0,-124143960.0,218872080.0,-0.0,0.0,0.85,1.0,-0.994499955326322,1.0,True,False,False,0,3,1
