time,step,reward,terminated,truncated,fmu_status,fmu_error,failure_type,transition_valid,requested_u_tp,requested_u_battery,requested_caes_mode,requested_caes_magnitude,decoded_u_tp,decoded_u_battery,decoded_u_caes,rt_economic_cashflow_total,rt_economic_cashflow_delta,rt_economic_reward,rt_raw_total_cost,rt_normalized_cost,rt_cost_reference,rt_cost_reference_missing,rt_terminal_soc_bonus,rt_reward,rt_terminal_soc_l1_error,rt_terminal_soc_l2_error,rt_terminal_soc_tolerance,rt_terminal_soc_satisfied,rt_economic_cashflow_wind,rt_economic_cashflow_delta_wind,rt_raw_wind_cost,rt_economic_cashflow_pv,rt_economic_cashflow_delta_pv,rt_raw_pv_cost,rt_economic_cashflow_thermal,rt_economic_cashflow_delta_thermal,rt_raw_thermal_cost,rt_economic_cashflow_battery,rt_economic_cashflow_delta_battery,rt_raw_battery_cost,rt_economic_cashflow_caes,rt_economic_cashflow_delta_caes,rt_raw_caes_cost,rt_economic_cashflow_load,rt_economic_cashflow_delta_load,rt_raw_load_cost,rt_economic_cashflow_grid,rt_economic_cashflow_delta_grid,rt_raw_grid_cost,obs_battery_soc,obs_caes_gas_soc,obs_caes_hot_soc,obs_caes_cold_soc,obs_caes_gas_pressure,obs_caes_gas_temperature,obs_caes_hot_temperature,obs_caes_cold_temperature,obs_p_thermal,obs_p_battery,obs_p_caes,obs_p_grid,obs_p_wind_available,obs_p_wind_actual,obs_p_pv_available,obs_p_pv_actual,obs_p_load_actual,obs_p_curtailment,obs_p_unserved,u_tp_dynamic_low,u_tp_dynamic_high,u_battery_dynamic_low,u_battery_dynamic_high,caes_discharge_allowed,caes_idle_allowed,caes_charge_allowed,caes_locked_mode,caes_locked_steps_completed,caes_locked_steps_remaining
14518800.0,0,0.09186661404145965,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,14380.784644614594,14380.784644614594,0.09186661404145965,-14380.784644614594,-0.09186661404145965,156539.83544146415,0.0,0.0,0.09186661404145965,0.008495785698350522,7.217837463229727e-05,0.05,1.0,-9429.59902446043,-9429.59902446043,9429.59902446043,0.0,0.0,-0.0,-59999.99999999999,-59999.99999999999,59999.99999999999,0.0,0.0,-0.0,0.0,0.0,-0.0,111773.21614999996,111773.21614999996,-111773.21614999996,-27962.83248092498,-27962.83248092498,27962.83248092498,0.5,0.8584957718849182,0.5,0.5,8584958.0,283.455078125,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-87803936.0,-31383646.0,-31383646.0,-0.0,-0.0,269187584.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
14522400.0,1,0.06351019061771176,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,24322.659432767214,9941.87478815262,0.06351019061771176,-9941.87478815262,-0.06351019061771176,156539.83544146415,0.0,0.0,0.06351019061771176,0.012017241439625792,0.00014441409181825937,0.05,1.0,-19034.484969874105,-9604.885945413675,9604.885945413675,0.0,0.0,-0.0,-119999.99999999999,-59999.99999999999,59999.99999999999,0.0,0.0,-0.0,0.0,0.0,-0.0,246367.00630000007,134593.7901500001,-134593.7901500001,-83009.86189735871,-55047.02941643374,55047.02941643374,0.5,0.8620172142982483,0.5,0.5,8620172.0,284.6177978515625,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-92408640.0,-22876062.0,-22876062.0,-0.0,-0.0,265284704.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
14526000.0,2,0.06167694242727747,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,33977.55785086589,9654.898418098674,0.06167694242727747,-9654.898418098674,-0.06167694242727747,156539.83544146415,0.0,0.0,0.06167694242727747,0.012339225856221825,0.00015225649473085324,0.05,1.0,-27691.200797212234,-8656.715827338128,8656.715827338128,0.0,0.0,-0.0,-179999.99999999997,-59999.999999999985,59999.999999999985,0.0,0.0,-0.0,0.0,0.0,-0.0,379009.35644999996,132642.3501499999,-132642.3501499999,-137340.5978019219,-54330.735904563175,54330.735904563175,0.5,0.862339198589325,0.5,0.5,8623392.0,284.7240905761719,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-89881408.0,-27068218.0,-27068218.0,-0.0,-0.0,266949632.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
14529600.0,3,0.07385167843760815,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,45538.28744056499,11560.729589699105,0.07385167843760815,-11560.729589699105,-0.07385167843760815,156539.83544146415,0.0,0.0,0.07385167843760815,0.010693743434676328,0.00011435614864668307,0.05,1.0,-38844.94176339928,-11153.740966187044,11153.740966187044,-206.2391405059686,-206.2391405059686,206.2391405059686,-239999.99999999997,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,512484.1716499997,133474.81519999972,-133474.81519999972,-187894.70330552972,-50554.10550360783,50554.10550360783,0.5,0.8606937527656555,0.5,0.5,8606937.0,284.1807861328125,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-63656508.0,-38099312.0,-38099312.0,-1837200.25,-1837200.25,253593024.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
14533200.0,4,0.12391707193390208,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,64936.2454894861,19397.958048921108,0.12391707193390208,-19397.958048921108,-0.12391707193390208,156539.83544146415,0.0,0.0,0.12391707193390208,0.008857205142815405,7.845008294191566e-05,0.05,1.0,-54977.59640989208,-16132.654646492803,16132.654646492803,-2516.192920096141,-2309.9537795901724,2309.9537795901724,-299999.99999999994,-59999.99999999997,59999.99999999997,0.0,0.0,-0.0,0.0,0.0,-0.0,639280.6816,126796.50995000033,-126796.50995000033,-216850.64678052563,-28955.943474995904,28955.943474995904,0.5,0.8588572144508362,0.5,0.5,8588572.0,283.57440185546875,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-31440498.0,-56622264.0,-56622264.0,-18264914.0,-18264914.0,256327680.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
14536800.0,5,0.18785723822503353,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,94343.38664772078,29407.141158234677,0.18785723822503353,-29407.141158234677,-0.18785723822503353,156539.83544146415,0.0,0.0,0.18785723822503353,0.008707754093976394,7.582498136116266e-05,0.05,1.0,-81162.05908974816,-26184.46267985608,26184.46267985608,-11668.747140453603,-9152.554220357462,9152.554220357462,-359999.99999999994,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,767444.5195999995,128163.83799999952,-128163.83799999952,-220270.32672207736,-3419.6799415517307,3419.6799415517307,0.5,0.8587077260017395,0.5,0.5,8587078.0,283.5250549316406,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,83838504.0,-99713040.0,-99713040.0,-58793960.0,-58793960.0,224668496.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
14540400.0,6,0.044275469391308095,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,101274.26134032973,6930.874692608952,0.044275469391308095,-6930.874692608952,-0.044275469391308095,156539.83544146415,0.0,0.0,0.044275469391308095,0.010856653189533771,0.00011786691847781381,0.05,1.0,-116939.92738327332,-35777.868293525156,35777.868293525156,-32303.583170003978,-20634.836029550373,20634.836029550373,-419999.99999999994,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,879778.7652499995,112334.24564999994,-112334.24564999994,-209260.99335639286,11009.333365684492,-11009.333365684492,0.5,0.8608566522598267,0.5,0.5,8608567.0,284.2345886230469,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,139617040.0,-105324304.0,-105324304.0,-111066416.0,-111066416.0,226773664.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
14544000.0,7,0.01233027720026831,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,103204.44090420737,1930.1795638776384,0.01233027720026831,-1930.1795638776384,-0.01233027720026831,156539.83544146415,0.0,0.0,0.01233027720026831,0.014814930500171686,0.00021948216572491728,0.05,1.0,-151403.17910152872,-34463.2517182554,34463.2517182554,-64241.383346570554,-31937.800176566576,31937.800176566576,-479999.99999999994,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,993165.6002999991,113386.83504999964,-113386.83504999964,-194316.59694769327,14944.396408699598,-14944.396408699598,0.5,0.8648149371147156,0.5,0.5,8648149.0,285.54150390625,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,127570112.0,-90343320.0,-90343320.0,-147758944.0,-147758944.0,260532160.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
14547600.0,8,0.0847319585450694,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,116468.3677514855,13263.926847278126,0.0847319585450694,-13263.926847278126,-0.0847319585450694,156539.83544146415,0.0,0.0,0.0847319585450694,0.01977021494529807,0.00039086139898328716,0.05,1.0,-180523.23590368693,-29120.056802158215,29120.056802158215,-106156.20704615665,-41914.82369958609,41914.82369958609,-539999.9999999999,-59999.99999999994,59999.99999999994,0.0,0.0,-0.0,0.0,0.0,-0.0,1123431.6773499995,130266.07705000043,-130266.07705000043,-180283.86664867072,14032.730299022543,-14032.730299022543,0.5,0.8697702288627625,0.5,0.5,8697702.0,287.1776123046875,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,153950592.0,-74795312.0,-74795312.0,-191419904.0,-191419904.0,262264624.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
14551200.0,9,0.059757337168621666,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,125822.77147828162,9354.403726796125,0.059757337168621666,-9354.403726796125,-0.059757337168621666,156539.83544146415,0.0,0.0,0.059757337168621666,0.024778827413889815,0.0006139902880073374,0.05,1.0,-208068.18969577324,-27544.953792086308,27544.953792086308,-157617.00904425085,-51460.801998094204,51460.801998094204,-599999.9999999999,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,1254563.9922499987,131132.31489999918,-131132.31489999918,-163056.0220316941,17227.844616976625,-17227.844616976625,0.5,0.8747788071632385,0.5,0.5,8747788.0,288.8313293457031,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,231625840.0,-83579952.0,-83579952.0,-223194480.0,-223194480.0,225148592.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
