time,step,reward,terminated,truncated,fmu_status,fmu_error,failure_type,transition_valid,requested_u_tp,requested_u_battery,requested_caes_mode,requested_caes_magnitude,decoded_u_tp,decoded_u_battery,decoded_u_caes,rt_economic_cashflow_total,rt_economic_cashflow_delta,rt_economic_reward,rt_raw_total_cost,rt_normalized_cost,rt_cost_reference,rt_cost_reference_missing,rt_terminal_soc_bonus,rt_reward,rt_terminal_soc_l1_error,rt_terminal_soc_l2_error,rt_terminal_soc_tolerance,rt_terminal_soc_satisfied,rt_economic_cashflow_wind,rt_economic_cashflow_delta_wind,rt_raw_wind_cost,rt_economic_cashflow_pv,rt_economic_cashflow_delta_pv,rt_raw_pv_cost,rt_economic_cashflow_thermal,rt_economic_cashflow_delta_thermal,rt_raw_thermal_cost,rt_economic_cashflow_battery,rt_economic_cashflow_delta_battery,rt_raw_battery_cost,rt_economic_cashflow_caes,rt_economic_cashflow_delta_caes,rt_raw_caes_cost,rt_economic_cashflow_load,rt_economic_cashflow_delta_load,rt_raw_load_cost,rt_economic_cashflow_grid,rt_economic_cashflow_delta_grid,rt_raw_grid_cost,obs_battery_soc,obs_caes_gas_soc,obs_caes_hot_soc,obs_caes_cold_soc,obs_caes_gas_pressure,obs_caes_gas_temperature,obs_caes_hot_temperature,obs_caes_cold_temperature,obs_p_thermal,obs_p_battery,obs_p_caes,obs_p_grid,obs_p_wind_available,obs_p_wind_actual,obs_p_pv_available,obs_p_pv_actual,obs_p_load_actual,obs_p_curtailment,obs_p_unserved,u_tp_dynamic_low,u_tp_dynamic_high,u_battery_dynamic_low,u_battery_dynamic_high,caes_discharge_allowed,caes_idle_allowed,caes_charge_allowed,caes_locked_mode,caes_locked_steps_completed,caes_locked_steps_remaining
24800400.0,0,0.03721540969792605,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,5825.694110000012,5825.694110000012,0.03721540969792605,-5825.694110000012,-0.03721540969792605,156539.83544146415,0.0,0.0,0.03721540969792605,0.013061091890704146,0.00017059212137741762,0.05,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-59999.99999999999,-59999.99999999999,59999.99999999999,0.0,0.0,-0.0,0.0,0.0,-0.0,120871.52944999997,120871.52944999997,-120871.52944999997,-55045.83533999999,-55045.83533999999,55045.83533999999,0.5,0.8630610704421997,0.5,0.5,8630611.0,284.9624328613281,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-96742336.0,0.0,0.0,-0.0,-0.0,246742336.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
24804000.0,1,0.034021797933929086,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,11151.460760000016,5325.766650000004,0.034021797933929086,-5325.766650000004,-0.034021797933929086,156539.83544146415,0.0,0.0,0.034021797933929086,0.019643980070586098,0.0003858859530135838,0.05,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-119999.99999999999,-59999.99999999999,59999.99999999999,0.0,0.0,-0.0,0.0,0.0,-0.0,244242.69619999995,123371.16674999997,-123371.16674999997,-113091.23543999996,-58045.40009999997,58045.40009999997,0.5,0.8696439862251282,0.5,0.5,8696440.0,287.13592529296875,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-109596624.0,0.0,0.0,-0.0,-0.0,259596624.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
24807600.0,2,0.02581028444680368,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,15191.798440000046,4040.3376800000296,0.02581028444680368,-4040.3376800000296,-0.02581028444680368,156539.83544146415,0.0,0.0,0.02581028444680368,0.022719090273428777,0.000516157062852206,0.05,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-179999.99999999997,-59999.999999999985,59999.999999999985,0.0,0.0,-0.0,0.0,0.0,-0.0,374041.00779999996,129798.31160000002,-129798.31160000002,-178849.20936,-65757.97392000005,65757.97392000005,0.5,0.8727191090583801,0.5,0.5,8727191.0,288.1512451171875,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-103508688.0,0.0,0.0,-0.0,-0.0,253508688.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
24811200.0,3,0.029699346922710212,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,19840.929320000057,4649.1308800000115,0.029699346922710212,-4649.1308800000115,-0.029699346922710212,156539.83544146415,0.0,0.0,0.029699346922710212,0.024131584134581496,0.0005823333528443854,0.05,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-239999.99999999997,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,500795.3534000002,126754.34560000023,-126754.34560000023,-240954.42407999994,-62105.21471999993,62105.21471999993,0.5,0.8741315603256226,0.5,0.5,8741316.0,288.61761474609375,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-82646672.0,0.0,0.0,-0.0,-0.0,232646672.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
24814800.0,4,0.045275505943696656,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,26928.349569955364,7087.420249955307,0.045275505943696656,-7087.420249955307,-0.045275505943696656,156539.83544146415,0.0,0.0,0.045275505943696656,0.024706818686296095,0.0006104268895975099,0.05,1.0,0.0,0.0,-0.0,-251.4911285394928,-251.4911285394928,251.4911285394928,-299999.99999999994,-59999.99999999997,59999.99999999997,0.0,0.0,-0.0,0.0,0.0,-0.0,617118.6900500004,116323.33665000024,-116323.33665000024,-289938.8493515051,-48984.42527150517,48984.42527150517,0.5,0.8747068047523499,0.5,0.5,8747068.0,288.80755615234375,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-89119024.0,0.0,0.0,-2235904.75,-2235904.75,241354928.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
24818400.0,5,0.07030493169919909,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,37933.87200887137,11005.522438916003,0.07030493169919909,-11005.522438916003,-0.07030493169919909,156539.83544146415,0.0,0.0,0.07030493169919909,0.02555365280899613,0.0006529891718827158,0.05,1.0,0.0,0.0,-0.0,-3923.645006336628,-3672.153877797135,3672.153877797135,-359999.99999999994,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,737796.1550000001,120677.4649499997,-120677.4649499997,-335938.637984792,-45999.788633286895,45999.788633286895,0.5,0.8755536675453186,0.5,0.5,8755537.0,289.087158203125,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-73336336.0,0.0,0.0,-29748802.0,-29748802.0,253085136.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
24822000.0,6,0.1440909332715356,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,60489.842991804544,22555.970982933177,0.1440909332715356,-22555.970982933177,-0.1440909332715356,156539.83544146415,0.0,0.0,0.1440909332715356,0.027676555495821487,0.0007659917241132865,0.05,1.0,0.0,0.0,-0.0,-16683.991315574604,-12760.346309237975,12760.346309237975,-419999.99999999994,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,864338.7242500001,126542.56924999994,-126542.56924999994,-367164.8899426209,-31226.251957828877,31226.251957828877,0.5,0.8776765465736389,0.5,0.5,8776766.0,289.7880859375,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-9386012.0,0.0,0.0,-76596216.0,-76596216.0,235982224.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
24825600.0,7,0.21911970153894889,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,94790.80501269434,34300.9620208898,0.21911970153894889,-34300.9620208898,-0.21911970153894889,156539.83544146415,0.0,0.0,0.21911970153894889,0.032031075159459355,0.001025989775870934,0.05,1.0,0.0,0.0,-0.0,-40564.548536072,-23880.557220497394,23880.557220497394,-479999.99999999994,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,982329.8374,117991.11314999987,-117991.11314999987,-366974.48385123373,190.4060913871508,-190.4060913871508,0.5,0.8820310831069946,0.5,0.5,8820311.0,291.225830078125,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,27343576.0,0.0,0.0,-117935848.0,-117935848.0,240592272.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
24829200.0,8,0.20111770565694564,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,126273.73756059744,31482.932547903096,0.20111770565694564,-31482.932547903096,-0.20111770565694564,156539.83544146415,0.0,0.0,0.20111770565694564,0.039424990961893114,0.0015543299123453537,0.05,1.0,0.0,0.0,-0.0,-73487.84428956686,-32923.29575349486,32923.29575349486,-539999.9999999999,-59999.99999999994,59999.99999999994,0.0,0.0,-0.0,0.0,0.0,-0.0,1102625.9749,120296.13750000007,-120296.13750000007,-362864.3930498358,4110.090801397921,-4110.090801397921,0.5,0.8894249796867371,0.5,0.5,8894250.0,293.6671142578125,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,61302004.0,0.0,0.0,-147832368.0,-147832368.0,236530352.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
24832800.0,9,0.16700632946506916,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,152416.8808927423,26143.14333214487,0.16700632946506916,-26143.14333214487,-0.16700632946506916,156539.83544146415,0.0,0.0,0.16700632946506916,0.04817829410066332,0.00232114802245001,0.05,1.0,0.0,0.0,-0.0,-112602.84206932543,-39114.997779758574,39114.997779758574,-599999.9999999999,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,1220891.152400001,118265.17750000092,-118265.17750000092,-355871.42943793244,6992.963611903368,-6992.963611903368,0.5,0.8981782793998718,0.5,0.5,8981783.0,296.5572509765625,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,86561128.0,0.0,0.0,-166660288.0,-166660288.0,230099152.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
