time,step,reward,terminated,truncated,fmu_status,fmu_error,failure_type,transition_valid,requested_u_tp,requested_u_battery,requested_caes_mode,requested_caes_magnitude,decoded_u_tp,decoded_u_battery,decoded_u_caes,rt_economic_cashflow_total,rt_economic_cashflow_delta,rt_economic_reward,rt_raw_total_cost,rt_normalized_cost,rt_cost_reference,rt_cost_reference_missing,rt_terminal_soc_bonus,rt_reward,rt_terminal_soc_l1_error,rt_terminal_soc_l2_error,rt_terminal_soc_tolerance,rt_terminal_soc_satisfied,rt_economic_cashflow_wind,rt_economic_cashflow_delta_wind,rt_raw_wind_cost,rt_economic_cashflow_pv,rt_economic_cashflow_delta_pv,rt_raw_pv_cost,rt_economic_cashflow_thermal,rt_economic_cashflow_delta_thermal,rt_raw_thermal_cost,rt_economic_cashflow_battery,rt_economic_cashflow_delta_battery,rt_raw_battery_cost,rt_economic_cashflow_caes,rt_economic_cashflow_delta_caes,rt_raw_caes_cost,rt_economic_cashflow_load,rt_economic_cashflow_delta_load,rt_raw_load_cost,rt_economic_cashflow_grid,rt_economic_cashflow_delta_grid,rt_raw_grid_cost,obs_battery_soc,obs_caes_gas_soc,obs_caes_hot_soc,obs_caes_cold_soc,obs_caes_gas_pressure,obs_caes_gas_temperature,obs_caes_hot_temperature,obs_caes_cold_temperature,obs_p_thermal,obs_p_battery,obs_p_caes,obs_p_grid,obs_p_wind_available,obs_p_wind_actual,obs_p_pv_available,obs_p_pv_actual,obs_p_load_actual,obs_p_curtailment,obs_p_unserved,u_tp_dynamic_low,u_tp_dynamic_high,u_battery_dynamic_low,u_battery_dynamic_high,caes_discharge_allowed,caes_idle_allowed,caes_charge_allowed,caes_locked_mode,caes_locked_steps_completed,caes_locked_steps_remaining
12704400.0,0,0.05877817808878735,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,9201.126325567846,9201.126325567846,0.05877817808878735,-9201.126325567846,-0.05877817808878735,156539.83544146415,0.0,0.0,0.05877817808878735,0.001649758430897652,2.721702880317883e-06,0.05,1.0,-3382.1623437949625,-3382.1623437949625,3382.1623437949625,0.0,0.0,-0.0,-59999.99999999999,-59999.99999999999,59999.99999999999,0.0,0.0,-0.0,0.0,0.0,-0.0,116073.5196,116073.5196,-116073.5196,-43490.2309306372,-43490.2309306372,43490.2309306372,0.5,0.8483502268791199,0.5,0.5,8483502.0,280.10528564453125,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-81554472.0,-16360634.0,-16360634.0,-0.0,-0.0,247915104.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
12708000.0,1,0.06618404899736764,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,19561.566464465577,10360.440138897731,0.06618404899736764,-10360.440138897731,-0.06618404899736764,156539.83544146415,0.0,0.0,0.06618404899736764,0.003592490791526237,1.290599008720081e-05,0.05,1.0,-10594.893910251798,-7212.731566456836,7212.731566456836,0.0,0.0,-0.0,-119999.99999999999,-59999.99999999999,59999.99999999999,0.0,0.0,-0.0,0.0,0.0,-0.0,240031.07450000008,123957.55490000008,-123957.55490000008,-89874.61412528262,-46384.38319464542,46384.38319464542,0.5,0.8464075326919556,0.5,0.5,8464075.0,279.4638366699219,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-77723544.0,-26201490.0,-26201490.0,-0.0,-0.0,253925040.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
12711600.0,2,0.06915552790002909,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,30387.161421803714,10825.594957338137,0.06915552790002909,-10825.594957338137,-0.06915552790002909,156539.83544146415,0.0,0.0,0.06915552790002909,0.0063255548091860625,4.0012643644016925e-05,0.05,1.0,-19300.231568525174,-8705.337658273376,8705.337658273376,0.0,0.0,-0.0,-179999.99999999997,-59999.999999999985,59999.999999999985,0.0,0.0,-0.0,0.0,0.0,-0.0,366993.5913500003,126962.51685000022,-126962.51685000022,-137306.19835967108,-47431.58423438846,47431.58423438846,0.5,0.8436744213104248,0.5,0.5,8436744.0,278.5614318847656,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-70045720.0,-23279516.0,-23279516.0,-0.0,-0.0,243325232.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
12715200.0,3,0.06852418568172589,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,41113.92617218142,10726.764750377704,0.06852418568172589,-10726.764750377704,-0.06852418568172589,156539.83544146415,0.0,0.0,0.06852418568172589,0.010332791692396648,0.00010676658415846119,0.05,1.0,-26383.235595053957,-7083.004026528783,7083.004026528783,0.0,0.0,-0.0,-239999.99999999997,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,488656.2105500005,121662.61920000019,-121662.61920000019,-181159.0487827646,-43852.850423093536,43852.850423093536,0.5,0.8396672010421753,0.5,0.5,8396672.0,277.23834228515625,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-86214376.0,-16705880.0,-16705880.0,-0.0,-0.0,252920256.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
12718800.0,4,0.07061766157170102,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,52168.4032938765,11054.477121695083,0.07061766157170102,-11054.477121695083,-0.07061766157170102,156539.83544146415,0.0,0.0,0.07061766157170102,0.014401035197019851,0.00020738981474580458,0.05,1.0,-33116.07310683453,-6732.83751178057,6732.83751178057,-1098.0948574451895,-1098.0948574451895,1098.0948574451895,-299999.99999999994,-59999.99999999997,59999.99999999997,0.0,0.0,-0.0,0.0,0.0,-0.0,615116.3372000008,126460.12665000028,-126460.12665000028,-228733.7659418438,-47574.717159079184,47574.717159079184,0.5,0.8355989456176758,0.5,0.5,8355989.5,275.8951110839844,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-78174672.0,-22476056.0,-22476056.0,-9766738.0,-9766738.0,260417472.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
12722400.0,5,0.1364520290008384,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,73528.58145932163,21360.178165445133,0.1364520290008384,-21360.178165445133,-0.1364520290008384,156539.83544146415,0.0,0.0,0.1364520290008384,0.01660576037582262,0.0002757512776592406,0.05,1.0,-46272.87094856114,-13156.797841726613,13156.797841726613,-6815.389222698525,-5717.294365253336,5717.294365253336,-359999.99999999994,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,745325.0706500005,130208.73344999971,-130208.73344999971,-258708.2290194187,-29974.46307757491,29974.46307757491,0.5,0.8333942294120789,0.5,0.5,8333942.5,275.1671447753906,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-14422530.0,-59614244.0,-59614244.0,-38785188.0,-38785188.0,262821968.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
12726000.0,6,0.20714489611682768,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,105955.00940998903,32426.427950667392,0.20714489611682768,-32426.427950667392,-0.20714489611682768,156539.83544146415,0.0,0.0,0.20714489611682768,0.016838932885545055,0.0002835496607238907,0.05,1.0,-72197.90329073739,-25925.03234217625,25925.03234217625,-20060.500117991403,-13245.110895292877,13245.110895292877,-419999.99999999994,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,876736.0515500003,131410.98089999985,-131410.98089999985,-258522.63873128218,185.59028813653276,-185.59028813653276,0.5,0.8331610560417175,0.5,0.5,8331610.5,275.09014892578125,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,58098944.0,-93403712.0,-93403712.0,-70239128.0,-70239128.0,255543888.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
12729600.0,7,0.09446875216947505,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,120743.13232895911,14788.122918970083,0.09446875216947505,-14788.122918970083,-0.09446875216947505,156539.83544146415,0.0,0.0,0.09446875216947505,0.016315663572419536,0.0002662008778083778,0.05,1.0,-114192.37865044961,-41994.47535971222,41994.47535971222,-40782.80267243148,-20722.302554440073,20722.302554440073,-479999.99999999994,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,1004507.9993999997,127771.94784999941,-127771.94784999941,-248789.68574815986,9732.952983122319,-9732.952983122319,0.5,0.8336843252182007,0.5,0.5,8336843.5,275.262939453125,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,171272672.0,-156139280.0,-156139280.0,-98300072.0,-98300072.0,233166688.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
12733200.0,8,-0.08910194173721117,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,106795.12903190115,-13948.003297057963,-0.08910194173721117,13948.003297057963,0.08910194173721117,156539.83544146415,0.0,0.0,-0.08910194173721117,0.015111535521995179,0.0002283585058325221,0.05,1.0,-175497.41773893882,-61305.03908848921,61305.03908848921,-71491.73930980288,-30708.936637371407,30708.936637371407,-539999.9999999999,-59999.99999999994,59999.99999999994,0.0,0.0,-0.0,0.0,0.0,-0.0,1121091.3398000004,116583.34040000068,-116583.34040000068,-227307.05371935724,21482.632028802618,-21482.632028802618,0.5,0.8348884582519531,0.5,0.5,8348884.5,275.6605224609375,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,267393184.0,-199648352.0,-199648352.0,-152550208.0,-152550208.0,234805360.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
12736800.0,9,-0.16845835331975462,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,80424.68612448673,-26370.442907414414,-0.16845835331975462,26370.442907414414,0.16845835331975462,156539.83544146415,0.0,0.0,-0.16845835331975462,0.012501422269681872,0.00015628555876489786,0.05,1.0,-244704.95066196038,-69207.53292302156,69207.53292302156,-114589.46534237261,-43097.72603256973,43097.72603256973,-599999.9999999999,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,1238494.0208000003,117402.68099999987,-117402.68099999987,-198774.9186711803,28532.135048176948,-28532.135048176948,0.5,0.8374986052513123,0.5,0.5,8374986.0,276.5223083496094,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,312394400.0,-195408928.0,-195408928.0,-196277728.0,-196277728.0,229292256.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
