time,step,reward,terminated,truncated,fmu_status,fmu_error,failure_type,transition_valid,requested_u_tp,requested_u_battery,requested_caes_mode,requested_caes_magnitude,decoded_u_tp,decoded_u_battery,decoded_u_caes,rt_economic_cashflow_total,rt_economic_cashflow_delta,rt_economic_reward,rt_raw_total_cost,rt_normalized_cost,rt_cost_reference,rt_cost_reference_missing,rt_terminal_soc_bonus,rt_reward,rt_terminal_soc_l1_error,rt_terminal_soc_l2_error,rt_terminal_soc_tolerance,rt_terminal_soc_satisfied,rt_soc_shaping_reward,rt_soc_shaping_potential,rt_soc_shaping_absolute,rt_soc_shaping_coef,rt_soc_recovery_scale,rt_soc_l1_prev,rt_market_settlement_enabled,rt_market_grid_cashflow,rt_market_grid_cost,rt_market_buy_cost,rt_market_sell_revenue,rt_market_energy_buy_mwh,rt_market_energy_sell_mwh,rt_market_buy_yuan_per_kwh,rt_market_sell_yuan_per_kwh,rt_p_grid_mw,rt_fmu_grid_cashflow_delta,rt_economic_cashflow_wind,rt_economic_cashflow_delta_wind,rt_raw_wind_cost,rt_economic_cashflow_pv,rt_economic_cashflow_delta_pv,rt_raw_pv_cost,rt_economic_cashflow_thermal,rt_economic_cashflow_delta_thermal,rt_raw_thermal_cost,rt_economic_cashflow_battery,rt_economic_cashflow_delta_battery,rt_raw_battery_cost,rt_economic_cashflow_caes,rt_economic_cashflow_delta_caes,rt_raw_caes_cost,rt_economic_cashflow_load,rt_economic_cashflow_delta_load,rt_raw_load_cost,rt_economic_cashflow_grid,rt_economic_cashflow_delta_grid,rt_raw_grid_cost,obs_battery_soc,obs_caes_gas_soc,obs_caes_hot_soc,obs_caes_cold_soc,obs_caes_gas_pressure,obs_caes_gas_temperature,obs_caes_hot_temperature,obs_caes_cold_temperature,obs_p_thermal,obs_p_battery,obs_p_caes,obs_p_grid,obs_p_wind_available,obs_p_wind_actual,obs_p_pv_available,obs_p_pv_actual,obs_p_load_actual,obs_p_curtailment,obs_p_unserved,u_tp_dynamic_low,u_tp_dynamic_high,u_battery_dynamic_low,u_battery_dynamic_high,caes_discharge_allowed,caes_idle_allowed,caes_charge_allowed,caes_locked_mode,caes_locked_steps_completed,caes_locked_steps_remaining
7779600.0,0,0.44509682656152944,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,5693.574359999993,81023.92935,0.5175930402731115,-81023.92935,-0.5175930402731115,156539.83544146415,0.0,0.0,0.44509682656152944,0.014270908210941347,0.00020365882116511316,0.06,1.0,-0.07249621371158205,-0.07135454105470673,-0.0011416726568753077,5.0,1.0,0.0,1.0,19491.801150000003,-19491.801150000003,0.0,19491.801150000003,0.0,103.95627280000001,0.63457,0.1875,-103.95627280000001,-55838.55384000001,0.0,0.0,-0.0,0.0,0.0,-0.0,-59999.99999999999,-59999.99999999999,59999.99999999999,0.0,0.0,-0.0,0.0,0.0,-0.0,121532.12819999999,121532.12819999999,-121532.12819999999,-55838.55384000001,19491.801150000003,-19491.801150000003,0.5,0.8357290625572205,0.5,0.5,8357291.0,275.93804931640625,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-103956272.0,0.0,0.0,-0.0,-0.0,253956272.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
7783200.0,1,0.5152804310164256,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,10297.947080000004,87576.4634,0.5594516127669494,-87576.4634,-0.5594516127669494,156539.83544146415,0.0,0.0,0.5152804310164256,0.022741284016777663,0.0005171659987317472,0.06,1.0,-0.04417118175052379,-0.04235187902918158,-0.001819302721342213,5.0,1.0,0.014270908210941347,1.0,20598.327,-20598.327,0.0,20598.327,0.0,109.857744,0.63457,0.1875,-109.857744,-62373.763679999975,0.0,0.0,-0.0,0.0,0.0,-0.0,-119999.99999999999,-59999.99999999999,59999.99999999999,0.0,0.0,-0.0,0.0,0.0,-0.0,248510.26460000005,126978.13640000006,-126978.13640000006,-118212.31751999998,20598.327,-20598.327,0.5,0.8272587060928345,0.5,0.5,8272587.0,273.14129638671875,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-109857744.0,0.0,0.0,-0.0,-0.0,259857744.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
7786800.0,2,0.5172970400238542,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,14312.172680000012,85262.38584374994,0.5446689374835366,-85262.38584374994,-0.5446689374835366,156539.83544146415,0.0,0.0,0.5172970400238542,0.027771322351096583,0.0007712463451285166,0.06,1.0,-0.02737189745968233,-0.0251501916715946,-0.0022217057880877266,5.0,1.0,0.022741284016777663,1.0,15333.513843749999,-15333.513843749999,0.0,15333.513843749999,0.0,81.7787405,0.63457,0.1875,-81.7787405,-65914.64639999994,0.0,0.0,-0.0,0.0,0.0,-0.0,-179999.99999999997,-59999.999999999985,59999.999999999985,0.0,0.0,-0.0,0.0,0.0,-0.0,378439.1366,129928.87199999997,-129928.87199999997,-184126.96391999992,15333.513843749999,-15333.513843749999,0.5,0.8222286701202393,0.5,0.5,8222287.0,271.4804992675781,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-81778744.0,0.0,0.0,-0.0,-0.0,231778736.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
7790400.0,3,0.468536952013144,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,21134.29863000002,76066.52385625003,0.4859243887776669,-76066.52385625003,-0.4859243887776669,156539.83544146415,0.0,0.0,0.468536952013144,0.030756702464568075,0.0009459747464939679,0.06,1.0,-0.017387436764522906,-0.01492690056735746,-0.002460536197165446,5.0,1.0,0.027771322351096583,1.0,20177.15360625,-20177.15360625,0.0,20177.15360625,0.0,107.6114859,0.63457,0.1875,-107.6114859,-49067.24430000002,0.0,0.0,-0.0,0.0,0.0,-0.0,-239999.99999999997,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,494328.50684999995,115889.37024999992,-115889.37024999992,-233194.20821999994,20177.15360625,-20177.15360625,0.5,0.819243311882019,0.5,0.5,8192433.0,270.4947814941406,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-107611488.0,0.0,0.0,-0.0,-0.0,257611488.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
7794000.0,4,0.56706223081678,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,25373.150040000008,90556.32577500006,0.5784874215538722,-90556.32577500006,-0.5784874215538722,156539.83544146415,0.0,0.0,0.56706223081678,0.03252139824014422,0.0010576413434940555,0.06,1.0,-0.011425190737092247,-0.008823478877880708,-0.0026017118592115375,5.0,1.0,0.030756702464568075,1.0,21750.582825,-21750.582825,0.0,21750.582825,0.0,116.0031084,0.63457,0.1875,-116.0031084,-64566.89154000007,0.0,0.0,-0.0,0.0,0.0,-0.0,-299999.99999999994,-59999.99999999997,59999.99999999997,0.0,0.0,-0.0,0.0,0.0,-0.0,623134.2498000003,128805.7429500004,-128805.7429500004,-297761.09976,21750.582825,-21750.582825,0.5,0.817478597164154,0.5,0.5,8174786.0,269.9121398925781,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-116003112.0,0.0,0.0,-0.0,-0.0,266003104.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
7797600.0,5,0.5956151744433495,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,29407.960830789314,94242.25374899806,0.6020336835235693,-94242.25374899806,-0.6020336835235693,156539.83544146415,0.0,0.0,0.5956151744433495,0.03327273627577576,0.0011070749792773242,0.06,1.0,-0.006418509080219778,-0.0037566901781577178,-0.0026618189020620607,5.0,1.0,0.03252139824014422,1.0,21694.357856704697,-21694.357856704697,0.0,21694.357856704697,0.0,115.70324190242505,0.63457,0.1875,-115.70324190242505,-68513.08510150405,0.0,0.0,-0.0,-453.658307706639,-453.658307706639,453.658307706639,-359999.99999999994,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,756135.804,133001.55419999966,-133001.55419999966,-366274.18486150407,21694.357856704697,-21694.357856704697,0.5,0.8167272806167603,0.5,0.5,8167272.5,269.6640625,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-115703240.0,0.0,0.0,-4028678.0,-4028678.0,269731904.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
7801200.0,6,0.5403288713759465,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,39737.54347068787,83341.28479090816,0.5323966551764547,-83341.28479090816,-0.5323966551764547,156539.83544146415,0.0,0.0,0.5403288713759465,0.03118729629515493,0.0009726474502017845,0.06,1.0,0.00793221619949175,0.010427199903104145,-0.0024949837036123946,5.0,1.0,0.03327273627577576,1.0,13691.592390835656,-13691.592390835656,0.0,13691.592390835656,0.0,73.02182608445683,0.63457,0.1875,-73.02182608445683,-59320.109760173946,0.0,0.0,-0.0,-5669.925907634169,-5216.26759992753,5216.26759992753,-419999.99999999994,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,891001.7640000002,134865.9600000002,-134865.9600000002,-425594.294621678,13691.592390835656,-13691.592390835656,0.5,0.8188127279281616,0.5,0.5,8188127.0,270.3526306152344,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-73021824.0,0.0,0.0,-41126328.0,-41126328.0,264148160.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
7804800.0,7,0.3700175567677743,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,66684.11602085562,53953.00618219888,0.3446599137532238,-53953.00618219888,-0.3446599137532238,156539.83544146415,0.0,0.0,0.3700175567677743,0.02570449576008349,0.0006607211022801501,0.06,1.0,0.025357643014550527,0.027414002675357207,-0.002056359660806679,5.0,1.0,0.03118729629515493,1.0,-1434.3649676812488,1434.3649676812488,1434.3649676812488,0.0,2.2603731151508093,0.0,0.63457,0.1875,2.2603731151508093,-28440.798599712376,0.0,0.0,-0.0,-22356.63155775398,-16686.70565011981,16686.70565011981,-479999.99999999994,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,1023075.8407999997,132074.07679999946,-132074.07679999946,-454035.0932213904,-1434.3649676812488,1434.3649676812488,0.5,0.8242955207824707,0.5,0.5,8242955.0,272.16290283203125,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,2260373.0,0.0,0.0,-97430472.0,-97430472.0,245170096.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
7808400.0,8,-0.05787139472140945,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,101835.51742896075,-14981.005135109452,-0.09570091276039054,14981.005135109452,0.09570091276039054,156539.83544146415,0.0,0.0,-0.05787139472140945,0.01785294503177881,0.0003187276463077157,0.06,1.0,0.03782951803898109,0.039257753641523396,-0.0014282356025423048,5.0,1.0,0.02570449576008349,1.0,-47840.67556571362,47840.67556571362,47840.67556571362,0.0,75.39069852926174,0.0,0.63457,0.1875,75.39069852926174,2291.7309775009635,-712.3408272517972,-712.3408272517972,712.3408272517972,-51369.66794989805,-29013.036392144073,29013.036392144073,-539999.9999999999,-59999.99999999994,59999.99999999994,0.0,0.0,-0.0,0.0,0.0,-0.0,1145660.8884499993,122585.04764999961,-122585.04764999961,-451743.3622438894,-47840.67556571362,47840.67556571362,0.5,0.8321470618247986,0.5,0.5,8321470.5,274.7552795410156,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,75390696.0,-7419777.5,-7419777.5,-138264928.0,-138264928.0,220294016.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
7812000.0,9,-0.32220769555508844,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,120289.31159918645,-56852.28180097911,-0.36318092222754517,56852.28180097911,0.36318092222754517,156539.83544146415,0.0,0.0,-0.32220769555508844,0.009506200489456162,9.036784774573659e-05,0.06,1.0,0.04097322667245675,0.04173372271161324,-0.000760496039156493,5.0,1.0,0.01785294503177881,1.0,-66418.56371072489,66418.56371072489,66418.56371072489,0.0,104.66704021735175,0.0,0.63457,0.1875,104.66704021735175,8887.51226047991,-3471.88096394244,-2759.5401366906426,2759.5401366906426,-89190.8511034616,-37821.18315356354,37821.18315356354,-599999.9999999999,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,1255807.8936499988,110147.00519999955,-110147.00519999955,-442855.8499834095,-66418.56371072489,66418.56371072489,0.5,0.8404937982559204,0.5,0.5,8404938.0,277.51116943359375,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,104667040.0,-8460413.0,-8460413.0,-166960944.0,-166960944.0,220754320.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
