time,step,reward,terminated,truncated,fmu_status,fmu_error,failure_type,transition_valid,requested_u_tp,requested_u_battery,requested_caes_mode,requested_caes_magnitude,decoded_u_tp,decoded_u_battery,decoded_u_caes,rt_economic_cashflow_total,rt_economic_cashflow_delta,rt_economic_reward,rt_raw_total_cost,rt_normalized_cost,rt_cost_reference,rt_cost_reference_missing,rt_terminal_soc_bonus,rt_reward,rt_terminal_soc_l1_error,rt_terminal_soc_l2_error,rt_terminal_soc_tolerance,rt_terminal_soc_satisfied,rt_soc_shaping_reward,rt_soc_shaping_potential,rt_soc_shaping_absolute,rt_soc_shaping_coef,rt_soc_recovery_scale,rt_soc_l1_prev,rt_market_settlement_enabled,rt_market_grid_cashflow,rt_market_grid_cost,rt_market_buy_cost,rt_market_sell_revenue,rt_market_energy_buy_mwh,rt_market_energy_sell_mwh,rt_market_buy_yuan_per_kwh,rt_market_sell_yuan_per_kwh,rt_p_grid_mw,rt_fmu_grid_cashflow_delta,rt_economic_cashflow_wind,rt_economic_cashflow_delta_wind,rt_raw_wind_cost,rt_economic_cashflow_pv,rt_economic_cashflow_delta_pv,rt_raw_pv_cost,rt_economic_cashflow_thermal,rt_economic_cashflow_delta_thermal,rt_raw_thermal_cost,rt_economic_cashflow_battery,rt_economic_cashflow_delta_battery,rt_raw_battery_cost,rt_economic_cashflow_caes,rt_economic_cashflow_delta_caes,rt_raw_caes_cost,rt_economic_cashflow_load,rt_economic_cashflow_delta_load,rt_raw_load_cost,rt_economic_cashflow_grid,rt_economic_cashflow_delta_grid,rt_raw_grid_cost,obs_battery_soc,obs_caes_gas_soc,obs_caes_hot_soc,obs_caes_cold_soc,obs_caes_gas_pressure,obs_caes_gas_temperature,obs_caes_hot_temperature,obs_caes_cold_temperature,obs_p_thermal,obs_p_battery,obs_p_caes,obs_p_grid,obs_p_wind_available,obs_p_wind_actual,obs_p_pv_available,obs_p_pv_actual,obs_p_load_actual,obs_p_curtailment,obs_p_unserved,u_tp_dynamic_low,u_tp_dynamic_high,u_battery_dynamic_low,u_battery_dynamic_high,caes_discharge_allowed,caes_idle_allowed,caes_charge_allowed,caes_locked_mode,caes_locked_steps_completed,caes_locked_steps_remaining
8089200.0,86,0.3008349092537012,False,False,ok,,,True,0.3333333432674408,0.0,1,0.0,0.3333333432674408,0.0,0.0,380643.42260229273,53890.714874862824,0.3442619875182793,-53890.714874862824,-0.3442619875182793,156539.83544146415,0.0,0.0,0.3008349092537012,0.5672141860779504,0.18511433240116276,0.06,0.0,-0.0434270782645781,0.0019500566216579251,-0.04537713488623603,5.0,1.0,0.567604197402282,1.0,5790.515732214276,-5790.515732214276,0.0,5790.515732214276,0.0,30.88275057180947,0.28359,0.1875,-30.88275057180947,-5485.742534322664,-302348.746322687,-29645.162844604347,29645.162844604347,-1231292.1388227306,-28704.651366701582,28704.651366701582,-1814000.061929226,-20000.000596046448,20000.000596046448,33350.51063930325,0.0,-0.0,25800.0,0.0,-0.0,10641367.935150016,126450.01395000145,-126450.01395000145,-6972234.076112358,5790.515732214276,-5790.515732214276,0.8500000238418579,0.8862393498420715,0.5082747936248779,0.49120378494262695,8862393.0,288.2051086425781,474.5345153808594,312.4521179199219,-50000000.0,0.0,0.0,-30882750.0,-70621136.0,-70621136.0,-91428584.0,-91428584.0,242932464.0,-0.0,0.0,0.3333333333333333,0.4833333432674408,-1.0,1.4890847999105007e-08,True,True,False,,0,0
8092800.0,87,0.5851240649484771,False,False,ok,,,True,0.3333333432674408,0.0,1,0.0,0.3333333432674408,0.0,0.0,399820.58815155394,95957.36691396705,0.612990084238647,-95957.36691396705,-0.612990084238647,156539.83544146415,0.0,0.0,0.5851240649484771,0.5637671160787248,0.18487637562905065,0.06,0.0,-0.0278660192901699,0.01723534999612808,-0.04510136928629798,5.0,1.0,0.5672141860779504,1.0,24448.499597721308,-24448.499597721308,0.0,24448.499597721308,0.0,130.39199785451365,0.63457,0.1875,-130.39199785451365,-52331.70176698454,-314700.6845103669,-12351.938187679858,12351.938187679858,-1248897.5667227576,-17605.427900027018,17605.427900027018,-1834000.0625252724,-20000.000596046448,20000.000596046448,33350.51063930325,0.0,-0.0,25800.0,0.0,-0.0,10762834.169150025,121466.23400000855,-121466.23400000855,-7024565.777879342,24448.499597721308,-24448.499597721308,0.8500000238418579,0.8827922940254211,0.5082747936248779,0.49120378494262695,8827923.0,287.0841369628906,474.5345153808594,312.4521179199219,-50000000.0,0.0,0.0,-130392000.0,-5353092.5,-5353092.5,-44254348.0,-44254348.0,229999440.0,-0.0,0.0,0.3333333333333333,0.4833333432674408,-1.0,1.4890847999105007e-08,True,True,False,,0,0
8096400.0,88,0.7636025819749872,False,False,ok,,,True,0.3333333432674408,0.0,1,0.0,0.3333333432674408,0.0,0.0,396735.86066540604,120237.54677309634,0.768095522995854,-120237.54677309634,-0.768095522995854,156539.83544146415,0.0,0.0,0.7636025819749872,0.5557733309871045,0.18441600755676685,0.06,0.0,-0.004492941020866871,0.03996892545810149,-0.04446186647896836,5.0,1.0,0.5637671160787248,1.0,32541.655539720472,-32541.655539720472,0.0,32541.655539720472,0.0,173.55549621184252,0.63457,0.1875,-173.55549621184252,-90780.61871952377,-315152.9772355467,-452.2927251798101,452.2927251798101,-1255749.1024681558,-6851.535745398141,6851.535745398141,-1854000.0631213188,-20000.000596046448,20000.000596046448,33350.51063930325,0.0,-0.0,25800.0,0.0,-0.0,10877833.889450032,114999.72030000761,-114999.72030000761,-7115346.396598866,32541.655539720472,-32541.655539720472,0.8500000238418579,0.8747984766960144,0.5082747936248779,0.49120378494262695,8747985.0,284.4845275878906,474.5345153808594,312.4521179199219,-50000000.0,0.0,0.0,-173555504.0,0.0,0.0,-6270478.5,-6270478.5,229825984.0,-0.0,0.0,0.3333333333333333,0.4833333432674408,-1.0,1.4890847999105007e-08,True,True,False,,0,0
8100000.0,89,0.8503344859377572,False,False,ok,,,True,0.3333333432674408,0.0,1,0.0,0.3333333432674408,0.0,0.0,384963.9563553008,132425.46395714895,0.8459537700655599,-132425.46395714895,-0.8459537700655599,156539.83544146415,0.0,0.0,0.8503344859377572,0.5461586494219144,0.18403159064196856,0.06,0.0,0.0043807158721972245,0.048073407825950376,-0.04369269195375315,5.0,1.0,0.5557733309871045,1.0,38377.25713310322,-38377.25713310322,0.0,38377.25713310322,0.0,204.67870470988385,1.13597,0.1875,-204.67870470988385,-105820.111134151,-315152.9772355467,0.0,-0.0,-1256613.8831980638,-864.7807299080305,864.7807299080305,-1874000.0637173653,-20000.000596046448,20000.000596046448,33350.51063930325,0.0,-0.0,25800.0,0.0,-0.0,10992746.87760004,114912.98815000802,-114912.98815000802,-7221166.507733017,38377.25713310322,-38377.25713310322,0.8500000238418579,0.8651838302612305,0.5082747936248779,0.49120378494262695,8651838.0,281.3578186035156,474.5345153808594,312.4521179199219,-50000000.0,0.0,0.0,-204678704.0,0.0,0.0,-0.0,-0.0,254678704.0,-0.0,0.0,0.3333333333333333,0.4833333432674408,-1.0,1.4890847999105007e-08,True,True,False,,0,0
8103600.0,90,0.9279467208380073,False,False,ok,,,True,0.3333333432674408,0.0,1,0.0,0.3333333432674408,0.0,0.0,369496.08603332384,146221.38800580765,0.9340842067033158,-146221.38800580765,-0.9340842067033158,156539.83544146415,0.0,0.0,0.9279467208380073,0.5387658923178898,0.18386174320178528,0.06,0.0,-0.0061374858653084965,0.036963785520122694,-0.04310127138543119,5.0,1.0,0.5461586494219144,1.0,38882.03550185323,-38882.03550185323,0.0,38882.03550185323,0.0,207.37085600988388,1.13597,0.1875,-207.37085600988388,-122807.22282593139,-315152.9772355467,0.0,-0.0,-1256613.8831980638,0.0,-0.0,-1894000.0643134117,-20000.000596046448,20000.000596046448,33350.51063930325,0.0,-0.0,25800.0,0.0,-0.0,11120086.230700046,127339.35310000554,-127339.35310000554,-7343973.730558949,38882.03550185323,-38882.03550185323,0.8500000238418579,0.8577910661697388,0.5082747936248779,0.49120378494262695,8577910.0,278.95367431640625,474.5345153808594,312.4521179199219,-50000000.0,0.0,0.0,-207370864.0,0.0,0.0,-0.0,-0.0,257370864.0,-0.0,0.0,0.3333333333333333,0.4833333432674408,-1.0,1.4890847999105007e-08,True,True,False,,0,0
8107200.0,91,0.9145801129292067,False,False,ok,,,True,0.3333333432674408,0.0,1,0.0,0.3333333432674408,0.0,0.0,353759.0005813471,145654.1867870601,0.9304608400557915,-145654.1867870601,-0.9304608400557915,156539.83544146415,0.0,0.0,0.9145801129292067,0.5334075174637862,0.18380696072099775,0.06,0.0,-0.015880727126584795,0.0267918742705181,-0.0426726013971029,5.0,1.0,0.5387658923178898,1.0,36968.75863310322,-36968.75863310322,0.0,36968.75863310322,0.0,197.16671270988385,1.13597,0.1875,-197.16671270988385,-124422.51360593364,-315152.9772355467,0.0,-0.0,-1256613.8831980638,0.0,-0.0,-1914000.0649094582,-20000.000596046448,20000.000596046448,33350.51063930325,0.0,-0.0,25800.0,0.0,-0.0,11248771.65945004,128685.42874999344,-128685.42874999344,-7468396.244164882,36968.75863310322,-36968.75863310322,0.8500000238418579,0.8524326682090759,0.5082747936248779,0.49120378494262695,8524327.0,277.21112060546875,474.5345153808594,312.4521179199219,-50000000.0,0.0,0.0,-197166720.0,0.0,0.0,-0.0,-0.0,247166720.0,-0.0,0.0,0.3333333333333333,0.4833333432674408,-1.0,1.4890847999105007e-08,True,True,False,,0,0
8110800.0,92,0.8591605999685064,False,False,ok,,,True,0.3333333432674408,0.0,1,0.0,0.3333333432674408,0.0,0.0,339042.3294593704,140388.25890580984,0.8968213011716499,-140388.25890580984,-0.8968213011716499,156539.83544146415,0.0,0.0,0.8591605999685064,0.5324209229374163,0.18380313397485382,0.06,0.0,-0.03766070120314353,0.004932972631849775,-0.0425936738349933,5.0,1.0,0.5334075174637862,1.0,36804.90240185323,-36804.90240185323,0.0,36804.90240185323,0.0,196.29281280988388,0.98555,0.1875,-196.29281280988388,-118300.02762593329,-315152.9772355467,0.0,-0.0,-1256613.8831980638,0.0,-0.0,-1934000.0655055046,-20000.000596046448,20000.000596046448,33350.51063930325,0.0,-0.0,25800.0,0.0,-0.0,11372355.016550042,123583.35710000247,-123583.35710000247,-7586696.2717908155,36804.90240185323,-36804.90240185323,0.8500000238418579,0.8485539555549622,0.5082747936248779,0.49120378494262695,8485539.0,275.94976806640625,474.5345153808594,312.4521179199219,-50000000.0,0.0,0.0,-196292816.0,0.0,0.0,-0.0,-0.0,246292816.0,-0.0,0.0,0.3333333333333333,0.4833333432674408,-1.0,1.4890847999105007e-08,True,True,False,,0,0
8114400.0,93,0.8300914400372326,False,False,ok,,,True,0.3333333432674408,0.0,1,0.0,0.3333333432674408,0.0,0.0,324413.04832739366,138834.3539245613,0.8868947225671284,-138834.3539245613,-0.8868947225671284,156539.83544146415,0.0,0.0,0.8300914400372326,0.535218090003342,0.18381904793957884,0.06,0.0,-0.05680328252989585,-0.013985835329628493,-0.04281744720026736,5.0,1.0,0.5324209229374163,1.0,35687.94737060322,-35687.94737060322,0.0,35687.94737060322,0.0,190.33571930988387,0.98555,0.1875,-190.33571930988387,-117775.68768593483,-315152.9772355467,0.0,-0.0,-1256613.8831980638,0.0,-0.0,-1954000.066101551,-20000.000596046448,20000.000596046448,33350.51063930325,0.0,-0.0,25800.0,0.0,-0.0,11495501.423700035,123146.40714999288,-123146.40714999288,-7704471.95947675,35687.94737060322,-35687.94737060322,0.8500000238418579,0.8457567691802979,0.5082747936248779,0.49120378494262695,8457568.0,275.0401306152344,474.5345153808594,312.4521179199219,-50000000.0,0.0,0.0,-190335712.0,0.0,0.0,-0.0,-0.0,240335728.0,-0.0,0.0,0.3333333333333333,0.4833333432674408,-1.0,1.4890847999105007e-08,True,True,False,,0,0
8118000.0,94,0.8225005494931406,False,False,ok,,,True,0.3333333432674408,0.0,1,0.0,0.3333333432674408,0.0,0.0,310381.35524322547,137214.54813798517,0.8765471597119099,-137214.54813798517,-0.8765471597119099,156539.83544146415,0.0,0.0,0.8225005494931406,0.5374285551644644,0.18384269316889632,0.06,0.0,-0.05404661021876937,-0.011052325805612218,-0.042994284413157155,5.0,1.0,0.535218090003342,1.0,37049.31851096165,-37049.31851096165,0.0,37049.31851096165,0.0,197.59636539179547,0.63457,0.1875,-197.59636539179547,-114196.9227111917,-315155.60741247836,-2.630176931677852,2.630176931677852,-1256613.8831980638,0.0,-0.0,-1974000.0666975975,-20000.000596046448,20000.000596046448,33350.51063930325,0.0,-0.0,25800.0,0.0,-0.0,11615669.28410004,120167.86040000618,-120167.86040000618,-7818668.882187942,37049.31851096165,-37049.31851096165,0.8500000238418579,0.8435462713241577,0.5082747936248779,0.49120378494262695,8435463.0,274.3212890625,474.5345153808594,312.4521179199219,-50000000.0,0.0,0.0,-197596368.0,-252248.8125,-252248.8125,-0.0,-0.0,247848608.0,-0.0,0.0,0.3333333333333333,0.4833333432674408,-1.0,1.4890847999105007e-08,True,True,False,,0,0
8121600.0,95,0.8572476328471135,False,False,ok,,,True,0.3333333432674408,0.0,1,0.0,0.3333333432674408,0.0,0.0,295688.39714461716,142424.76801070775,0.9098308274635019,-142424.76801070775,-0.9098308274635019,156539.83544146415,0.0,0.0,0.8572476328471135,0.539316135913132,0.1838706199132391,0.06,0.0,-0.05258319461638842,-0.009437903743337861,-0.04314529087305056,5.0,1.0,0.5374285551644644,1.0,38629.12519947014,-38629.12519947014,0.0,38629.12519947014,0.0,206.02200106384072,0.63457,0.1875,-206.02200106384072,-118488.6009098459,-315284.27185519406,-128.66444271570072,128.66444271570072,-1256613.8831980638,0.0,-0.0,-1994000.067293644,-20000.000596046448,20000.000596046448,33350.51063930325,0.0,-0.0,25800.0,0.0,-0.0,11739593.591950044,123924.30785000324,-123924.30785000324,-7937157.483097788,38629.12519947014,-38629.12519947014,0.8500000238418579,0.8416587114334106,0.5082747936248779,0.49120378494262695,8416587.0,273.7074279785156,474.5345153808594,312.4521179199219,-50000000.0,0.0,0.0,-206022000.0,-509542.4375,-509542.4375,-0.0,-0.0,256531552.0,-0.0,0.0,0.3333333333333333,0.4833333432674408,-1.0,1.4890847999105007e-08,True,True,False,,0,0
