time,step,reward,terminated,truncated,fmu_status,fmu_error,failure_type,transition_valid,requested_u_tp,requested_u_battery,requested_caes_mode,requested_caes_magnitude,decoded_u_tp,decoded_u_battery,decoded_u_caes,rt_economic_cashflow_total,rt_economic_cashflow_delta,rt_economic_reward,rt_raw_total_cost,rt_normalized_cost,rt_cost_reference,rt_cost_reference_missing,rt_terminal_soc_bonus,rt_reward,rt_terminal_soc_l1_error,rt_terminal_soc_l2_error,rt_terminal_soc_tolerance,rt_terminal_soc_satisfied,rt_soc_shaping_reward,rt_soc_shaping_potential,rt_soc_shaping_absolute,rt_soc_shaping_coef,rt_soc_l1_prev,rt_market_settlement_enabled,rt_market_grid_cashflow,rt_market_grid_cost,rt_market_buy_cost,rt_market_sell_revenue,rt_market_energy_buy_mwh,rt_market_energy_sell_mwh,rt_market_buy_yuan_per_kwh,rt_market_sell_yuan_per_kwh,rt_p_grid_mw,rt_fmu_grid_cashflow_delta,rt_economic_cashflow_wind,rt_economic_cashflow_delta_wind,rt_raw_wind_cost,rt_economic_cashflow_pv,rt_economic_cashflow_delta_pv,rt_raw_pv_cost,rt_economic_cashflow_thermal,rt_economic_cashflow_delta_thermal,rt_raw_thermal_cost,rt_economic_cashflow_battery,rt_economic_cashflow_delta_battery,rt_raw_battery_cost,rt_economic_cashflow_caes,rt_economic_cashflow_delta_caes,rt_raw_caes_cost,rt_economic_cashflow_load,rt_economic_cashflow_delta_load,rt_raw_load_cost,rt_economic_cashflow_grid,rt_economic_cashflow_delta_grid,rt_raw_grid_cost,obs_battery_soc,obs_caes_gas_soc,obs_caes_hot_soc,obs_caes_cold_soc,obs_caes_gas_pressure,obs_caes_gas_temperature,obs_caes_hot_temperature,obs_caes_cold_temperature,obs_p_thermal,obs_p_battery,obs_p_caes,obs_p_grid,obs_p_wind_available,obs_p_wind_actual,obs_p_pv_available,obs_p_pv_actual,obs_p_load_actual,obs_p_curtailment,obs_p_unserved,u_tp_dynamic_low,u_tp_dynamic_high,u_battery_dynamic_low,u_battery_dynamic_high,caes_discharge_allowed,caes_idle_allowed,caes_charge_allowed,caes_locked_mode,caes_locked_steps_completed,caes_locked_steps_remaining
64800.0,17,0.3929877549338697,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,269233.86878722796,63493.994256250095,0.40560917977962724,-63493.994256250095,-0.40560917977962724,156539.83544146415,0.0,0.0,0.3929877549338697,0.04093707040453032,0.0016758437333054721,0.05,1.0,-0.012621424845757484,-0.010574571325530968,-0.002046853520226516,4.0,0.038293427573147576,1.0,11857.955606250001,-11857.955606250001,0.0,11857.955606250001,0.0,63.242429900000005,1.13597,0.1875,-63.242429900000005,-43963.24637999991,-87570.76698083089,0.0,-0.0,-174435.74332634246,0.0,-0.0,-1079999.9999999998,-59999.99999999988,59999.99999999988,0.0,0.0,-0.0,0.0,0.0,-0.0,2019480.7972500015,111636.03864999954,-111636.03864999954,-408240.4181555988,11857.955606250001,-11857.955606250001,0.5,0.8090629577636719,0.5,0.5,8090629.5,267.13336181640625,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-63242428.0,0.0,0.0,-0.0,-0.0,213242432.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
68400.0,18,0.38409617967578674,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,277909.6257972279,61897.6294562497,0.39541136147032324,-61897.6294562497,-0.39541136147032324,156539.83544146415,0.0,0.0,0.38409617967578674,0.0432255465216439,0.001868447872094801,0.05,1.0,-0.011315181794536517,-0.009153904468454321,-0.002161277326082195,4.0,0.04093707040453032,1.0,15276.414506249997,-15276.414506249997,0.0,15276.414506249997,0.0,81.47421069999999,1.13597,0.1875,-81.47421069999999,-37945.45793999976,-87570.76698083089,0.0,-0.0,-174435.74332634246,0.0,-0.0,-1139999.9999999998,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,2126102.012200002,106621.21495000063,-106621.21495000063,-446185.87609559856,15276.414506249997,-15276.414506249997,0.5,0.8067744374275208,0.5,0.5,8067744.5,266.3777770996094,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-81474208.0,0.0,0.0,-0.0,-0.0,231474208.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
72000.0,19,0.4403093589145062,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,284762.2047272276,70387.73770624962,0.44964744921154665,-70387.73770624962,-0.44964744921154665,156539.83544146415,0.0,0.0,0.4403093589145062,0.04499759910706569,0.002024783925400199,0.05,1.0,-0.009338090297040446,-0.007088210341687162,-0.0022498799553532845,4.0,0.0432255465216439,1.0,14650.632356249998,-14650.632356249998,0.0,14650.632356249998,0.0,78.1367059,0.98555,0.1875,-78.1367059,-48884.52641999989,-87570.76698083089,0.0,-0.0,-174435.74332634246,0.0,-0.0,-1199999.9999999998,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,2241839.117550003,115737.10535000078,-115737.10535000078,-495070.40251559846,14650.632356249998,-14650.632356249998,0.5,0.8050023913383484,0.5,0.5,8050024.0,265.79266357421875,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-78136704.0,0.0,0.0,-0.0,-0.0,228136704.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
75600.0,20,0.42706690478854104,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,291948.5341372275,68516.69483749974,0.4376949461092323,-68516.69483749974,-0.4376949461092323,156539.83544146415,0.0,0.0,0.42706690478854104,0.04706628092566767,0.002215234800173868,0.05,1.0,-0.010628041320691306,-0.008274727274407923,-0.002353314046283384,4.0,0.04499759910706569,1.0,14448.3418875,-14448.3418875,0.0,14448.3418875,0.0,77.0578234,0.98555,0.1875,-77.0578234,-46882.02353999985,-87570.76698083089,0.0,-0.0,-174435.74332634246,0.0,-0.0,-1259999.9999999998,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,2355907.470500004,114068.35295000114,-114068.35295000114,-541952.4260555983,14448.3418875,-14448.3418875,0.5,0.8029336929321289,0.5,0.5,8029337.0,265.1096496582031,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-77057824.0,0.0,0.0,-0.0,-0.0,227057824.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
79200.0,21,0.4122669122518662,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,299242.75179722736,66591.20644999959,0.42539463684884493,-66591.20644999959,-0.42539463684884493,156539.83544146415,0.0,0.0,0.4122669122518662,0.049726629209789985,0.0024727376525679385,0.05,1.0,-0.013127724596978762,-0.010641393136489263,-0.0024863314604894994,4.0,0.04706628092566767,1.0,13062.29475,-13062.29475,0.0,13062.29475,0.0,69.665572,0.63457,0.1875,-69.665572,-46234.69403999974,-87570.76698083089,0.0,-0.0,-174435.74332634246,0.0,-0.0,-1319999.9999999998,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,2469436.382200006,113528.91170000192,-113528.91170000192,-588187.120095598,13062.29475,-13062.29475,0.5,0.8002733588218689,0.5,0.5,8002733.5,264.23126220703125,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-69665568.0,0.0,0.0,-0.0,-0.0,219665568.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
82800.0,22,0.3884534601671451,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,307276.19459722756,63149.6207375002,0.40340926997533544,-63149.6207375002,-0.40340926997533544,156539.83544146415,0.0,0.0,0.3884534601671451,0.05280551275243217,0.0027884221770472766,0.05,0.0,-0.014955809808190352,-0.012315534170568743,-0.002640275637621609,4.0,0.049726629209789985,1.0,13316.834737499998,-13316.834737499998,0.0,13316.834737499998,0.0,71.02311859999999,0.63457,0.1875,-71.02311859999999,-41799.3432,-87570.76698083089,0.0,-0.0,-174435.74332634246,0.0,-0.0,-1379999.9999999998,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,2579269.1682000044,109832.78599999845,-109832.78599999845,-629986.463295598,13316.834737499998,-13316.834737499998,0.5,0.7971944808959961,0.5,0.5,7971945.0,263.2146911621094,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-71023120.0,0.0,0.0,-0.0,-0.0,221023120.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
86400.0,23,0.37593125783150105,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,315173.88273722766,61172.07784375067,0.39077642870414986,-61172.07784375067,-0.39077642870414986,156539.83544146415,0.0,0.0,0.37593125783150105,0.05581906713145124,0.00311576825542546,0.05,0.0,-0.014845170872648833,-0.012054217516076271,-0.002790953356572562,4.0,0.05280551275243217,1.0,10660.51854375,-10660.51854375,0.0,10660.51854375,0.0,56.856098900000006,0.63457,0.1875,-56.856098900000006,-42613.87116000056,-87570.76698083089,0.0,-0.0,-174435.74332634246,0.0,-0.0,-1439999.9999999998,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,2689780.7275000033,110511.55929999892,-110511.55929999892,-672600.3344555986,10660.51854375,-10660.51854375,0.5,0.7941809296607971,0.5,0.5,7941809.5,262.21966552734375,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-56856100.0,0.0,0.0,-0.0,-0.0,206856096.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
90000.0,24,0.34091850874526386,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,324488.27284722746,55542.217056249814,0.35481203170817843,-55542.217056249814,-0.35481203170817843,156539.83544146415,0.0,0.0,0.34091850874526386,0.058560442342893704,0.003429325407395378,0.05,0.0,-0.013893522962914545,-0.01096550084576986,-0.002928022117144685,4.0,0.05581906713145124,1.0,12114.16760625,-12114.16760625,0.0,12114.16760625,0.0,64.6088939,0.63457,0.1875,-64.6088939,-34113.65934000001,-87570.76698083089,0.0,-0.0,-174435.74332634246,0.0,-0.0,-1499999.9999999998,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,2793208.776950003,103428.04944999982,-103428.04944999982,-706713.9937955986,12114.16760625,-12114.16760625,0.5,0.7914395332336426,0.5,0.5,7914395.5,261.3145446777344,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-64608892.0,0.0,0.0,-0.0,-0.0,214608896.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
93600.0,25,0.3496653075852906,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,333027.38345722767,56748.10208125012,0.36251540651753317,-56748.10208125012,-0.36251540651753317,156539.83544146415,0.0,0.0,0.3496653075852906,0.061010337852794416,0.003722261324912119,0.05,0.0,-0.01285009893224257,-0.00979958203960285,-0.003050516892639721,4.0,0.058560442342893704,1.0,9443.655131249998,-9443.655131249998,0.0,9443.655131249998,0.0,50.36616069999999,0.63457,0.1875,-50.36616069999999,-38765.33633999992,-87570.76698083089,0.0,-0.0,-174435.74332634246,0.0,-0.0,-1559999.9999999998,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,2900513.223900004,107304.44695000071,-107304.44695000071,-745479.3301355985,9443.655131249998,-9443.655131249998,0.5,0.7889896631240845,0.5,0.5,7889896.5,260.5056457519531,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-50366160.0,0.0,0.0,-0.0,-0.0,200366160.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
97200.0,26,0.36072454683408695,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,342990.7673872278,58302.15432500052,0.3724429258570531,-58302.15432500052,-0.3724429258570531,156539.83544146415,0.0,0.0,0.36072454683408695,0.06315055072447995,0.0039879920568051145,0.05,0.0,-0.011718379022966125,-0.008560851486742127,-0.0031575275362239977,4.0,0.061010337852794416,1.0,18119.073974999996,-18119.073974999996,0.0,18119.073974999996,0.0,96.63506119999998,0.28359,0.1875,-96.63506119999998,-30219.6964200004,-87570.76698083089,0.0,-0.0,-174435.74332634246,0.0,-0.0,-1619999.9999999998,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,3000696.304250006,100183.08035000227,-100183.08035000227,-775699.026555599,18119.073974999996,-18119.073974999996,0.5,0.7868494391441345,0.5,0.5,7868494.5,259.7989807128906,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-96635064.0,0.0,0.0,-0.0,-0.0,246635056.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
