time,step,reward,terminated,truncated,fmu_status,fmu_error,failure_type,transition_valid,requested_u_tp,requested_u_battery,requested_caes_mode,requested_caes_magnitude,decoded_u_tp,decoded_u_battery,decoded_u_caes,rt_raw_grid_cost,rt_raw_thermal_cost,rt_raw_battery_cost,rt_raw_caes_cost,rt_raw_curtailment_cost,rt_raw_unserved_cost,rt_raw_ramp_cost,rt_raw_total_cost,rt_cost_reference,rt_cost_reference_missing,rt_normalized_cost,rt_terminal_soc_bonus,rt_reward,rt_terminal_soc_l1_error,rt_terminal_soc_l2_error,rt_terminal_soc_tolerance,rt_terminal_soc_satisfied,obs_battery_soc,obs_caes_gas_soc,obs_caes_hot_soc,obs_caes_cold_soc,obs_caes_gas_pressure,obs_caes_gas_temperature,obs_caes_hot_temperature,obs_caes_cold_temperature,obs_p_thermal,obs_p_battery,obs_p_caes,obs_p_grid,obs_p_wind_available,obs_p_wind_actual,obs_p_pv_available,obs_p_pv_actual,obs_p_load_actual,obs_p_curtailment,obs_p_unserved,u_tp_dynamic_low,u_tp_dynamic_high,u_battery_dynamic_low,u_battery_dynamic_high,caes_discharge_allowed,caes_idle_allowed,caes_charge_allowed
39600.0,10,-1.1712605265123925,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,52674.23972244793,60000.0,0.0,0.0,-0.0,0.0,0.0,112674.23972244794,96199.12664345714,0.0,1.1712605265123925,0.0,-1.1712605265123925,0.043342034396675055,0.0018785319456425637,0.05,1.0,0.5,0.8066579699516296,0.5,0.5,8066579.5,266.33929443359375,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,87790400.0,-41586420.0,-41586420.0,-120293896.0,-120293896.0,224089920.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True
43200.0,11,-0.9945236974226017,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,35672.31111827612,60000.0,0.0,0.0,-0.0,0.0,0.0,95672.31111827612,96199.12664345714,0.0,0.9945236974226017,0.0,-0.9945236974226017,0.039042487349492117,0.001524315818435252,0.05,1.0,0.5,0.8109574913978577,0.5,0.5,8109575.0,267.7589111328125,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,59453852.0,-38889120.0,-38889120.0,-110345712.0,-110345712.0,239780976.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True
46800.0,12,-0.8299688643611661,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,19842.279892806127,60000.0,0.0,0.0,-0.0,0.0,0.0,79842.27989280612,96199.12664345714,0.0,0.8299688643611661,0.0,-0.8299688643611661,0.03587552027453289,0.0012870529549684204,0.05,1.0,0.5,0.8141244649887085,0.5,0.5,8141245.0,268.8045654296875,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,33070466.0,-32815878.0,-32815878.0,-84824272.0,-84824272.0,234569680.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True
50400.0,13,-0.6658000083880863,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,4049.379326140344,60000.0,0.0,0.0,-0.0,0.0,0.0,64049.37932614034,96199.12664345714,0.0,0.6658000083880863,0.0,-0.6658000083880863,0.034133669902025154,0.001165107420980418,0.05,1.0,0.5,0.8158663511276245,0.5,0.5,8158663.5,269.37969970703125,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,6748965.5,-35028160.0,-35028160.0,-64210312.0,-64210312.0,242489504.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True
54000.0,14,-0.6049292952783079,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,-1806.330113184783,60000.0,0.0,0.0,-0.0,0.0,0.0,58193.669886815216,96199.12664345714,0.0,0.6049292952783079,0.0,-0.6049292952783079,0.034198034682384915,0.0011695055761376015,0.05,1.0,0.5,0.8158019781112671,0.5,0.5,8158019.5,269.3584289550781,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-18063302.0,-33544730.0,-33544730.0,-24006094.0,-24006094.0,225614128.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True
57600.0,15,-0.5400856803324249,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,-8044.229239383352,60000.0,0.0,0.0,-0.0,0.0,0.0,51955.77076061665,96199.12664345714,0.0,0.5400856803324249,0.0,-0.5400856803324249,0.0359022903829368,0.001288974454740716,0.05,1.0,0.5,0.8140977025032043,0.5,0.5,8140977.0,268.7957458496094,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-80442296.0,-12309378.0,-12309378.0,-0.0,-0.0,242751664.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True
61200.0,16,-0.5475391940430102,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,-7327.207730000001,60000.0,0.0,0.0,-0.0,0.0,0.0,52672.79227,96199.12664345714,0.0,0.5475391940430102,0.0,-0.5475391940430102,0.038293427573147576,0.001466386595299899,0.05,1.0,0.5,0.81170654296875,0.5,0.5,8117065.5,268.0062255859375,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-73272080.0,0.0,0.0,-0.0,-0.0,223272080.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True
64800.0,17,-0.5579651175934109,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,-6324.242990000001,60000.0,0.0,0.0,-0.0,0.0,0.0,53675.75701,96199.12664345714,0.0,0.5579651175934109,0.0,-0.5579651175934109,0.04093707040453032,0.0016758437333054721,0.05,1.0,0.5,0.8090629577636719,0.5,0.5,8090629.5,267.13336181640625,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-63242428.0,0.0,0.0,-0.0,-0.0,213242432.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True
68400.0,18,-0.5390129904420154,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,-8147.4210699999985,60000.0,0.0,0.0,-0.0,0.0,0.0,51852.57893,96199.12664345714,0.0,0.5390129904420154,0.0,-0.5390129904420154,0.0432255465216439,0.001868447872094801,0.05,1.0,0.5,0.8067744374275208,0.5,0.5,8067744.5,266.3777770996094,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-81474208.0,0.0,0.0,-0.0,-0.0,231474208.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True
72000.0,19,-0.5424823616478163,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,-7813.670590000001,60000.0,0.0,0.0,-0.0,0.0,0.0,52186.32941,96199.12664345714,0.0,0.5424823616478163,0.0,-0.5424823616478163,0.04499759910706569,0.002024783925400199,0.05,1.0,0.5,0.8050023913383484,0.5,0.5,8050024.0,265.79266357421875,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-78136704.0,0.0,0.0,-0.0,-0.0,228136704.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True
