time,buy_yuan_per_kwh,sell_yuan_per_kwh,band
759600,0.98555,0.1875,P
763200,0.98555,0.1875,P
766800,0.63457,0.1875,F
770400,0.63457,0.1875,F
774000,0.63457,0.1875,F
777600,0.63457,0.1875,F
781200,0.63457,0.1875,F
784800,0.28359,0.1875,V
788400,0.28359,0.1875,V
792000,0.28359,0.1875,V
795600,0.28359,0.1875,V
799200,0.63457,0.1875,F
802800,0.98555,0.1875,P
806400,0.98555,0.1875,P
810000,0.63457,0.1875,F
813600,0.28359,0.1875,V
817200,0.18331,0.1875,D
820800,0.18331,0.1875,D
824400,0.18331,0.1875,D
828000,0.28359,0.1875,V
831600,0.63457,0.1875,F
835200,1.13597,0.1875,S
838800,1.13597,0.1875,S
842400,1.13597,0.1875,S
846000,0.98555,0.1875,P
849600,0.98555,0.1875,P
853200,0.63457,0.1875,F
856800,0.63457,0.1875,F
860400,0.63457,0.1875,F
864000,0.63457,0.1875,F
867600,0.63457,0.1875,F
871200,0.28359,0.1875,V
874800,0.28359,0.1875,V
878400,0.28359,0.1875,V
882000,0.28359,0.1875,V
885600,0.63457,0.1875,F
889200,0.98555,0.1875,P
892800,0.98555,0.1875,P
896400,0.63457,0.1875,F
900000,0.28359,0.1875,V
903600,0.18331,0.1875,D
907200,0.18331,0.1875,D
910800,0.18331,0.1875,D
914400,0.28359,0.1875,V
918000,0.63457,0.1875,F
921600,1.13597,0.1875,S
925200,1.13597,0.1875,S
928800,1.13597,0.1875,S
932400,0.98555,0.1875,P
936000,0.98555,0.1875,P
939600,0.63457,0.1875,F
943200,0.63457,0.1875,F
946800,0.63457,0.1875,F
950400,0.63457,0.1875,F
954000,0.63457,0.1875,F
957600,0.28359,0.1875,V
961200,0.28359,0.1875,V
964800,0.28359,0.1875,V
968400,0.28359,0.1875,V
972000,0.63457,0.1875,F
975600,0.98555,0.1875,P
979200,0.98555,0.1875,P
982800,0.63457,0.1875,F
986400,0.28359,0.1875,V
990000,0.18331,0.1875,D
993600,0.18331,0.1875,D
997200,0.18331,0.1875,D
1000800,0.28359,0.1875,V
1004400,0.63457,0.1875,F
1008000,1.13597,0.1875,S
1011600,1.13597,0.1875,S
1015200,1.13597,0.1875,S
1018800,0.98555,0.1875,P
1022400,0.98555,0.1875,P
1026000,0.63457,0.1875,F
1029600,0.63457,0.1875,F
1033200,0.63457,0.1875,F
1036800,0.63457,0.1875,F
1040400,0.63457,0.1875,F
1044000,0.28359,0.1875,V
1047600,0.28359,0.1875,V
1051200,0.28359,0.1875,V
1054800,0.28359,0.1875,V
1058400,0.63457,0.1875,F
1062000,0.98555,0.1875,P
1065600,0.98555,0.1875,P
1069200,0.63457,0.1875,F
1072800,0.28359,0.1875,V
1076400,0.18331,0.1875,D
1080000,0.18331,0.1875,D
1083600,0.18331,0.1875,D
1087200,0.28359,0.1875,V
1090800,0.63457,0.1875,F
1094400,1.13597,0.1875,S
1098000,1.13597,0.1875,S
1101600,1.13597,0.1875,S
1105200,0.98555,0.1875,P
1108800,0.98555,0.1875,P
1112400,0.63457,0.1875,F
1116000,0.63457,0.1875,F
1119600,0.63457,0.1875,F
1123200,0.63457,0.1875,F
1126800,0.63457,0.1875,F
1130400,0.28359,0.1875,V
1134000,0.28359,0.1875,V
1137600,0.28359,0.1875,V
1141200,0.28359,0.1875,V
1144800,0.63457,0.1875,F
1148400,0.98555,0.1875,P
1152000,0.98555,0.1875,P
1155600,0.63457,0.1875,F
1159200,0.28359,0.1875,V
1162800,0.18331,0.1875,D
1166400,0.18331,0.1875,D
1170000,0.18331,0.1875,D
1173600,0.28359,0.1875,V
1177200,0.63457,0.1875,F
1180800,1.13597,0.1875,S
1184400,1.13597,0.1875,S
1188000,1.13597,0.1875,S
1191600,0.98555,0.1875,P
1195200,0.98555,0.1875,P
1198800,0.63457,0.1875,F
1202400,0.63457,0.1875,F
1206000,0.63457,0.1875,F
1209600,0.63457,0.1875,F
1213200,0.63457,0.1875,F
1216800,0.28359,0.1875,V
1220400,0.28359,0.1875,V
1224000,0.28359,0.1875,V
1227600,0.28359,0.1875,V
1231200,0.63457,0.1875,F
1234800,0.98555,0.1875,P
1238400,0.98555,0.1875,P
1242000,0.63457,0.1875,F
1245600,0.28359,0.1875,V
1249200,0.18331,0.1875,D
1252800,0.18331,0.1875,D
1256400,0.18331,0.1875,D
1260000,0.28359,0.1875,V
1263600,0.63457,0.1875,F
1267200,1.13597,0.1875,S
1270800,1.13597,0.1875,S
1274400,1.13597,0.1875,S
1278000,0.98555,0.1875,P
1281600,0.98555,0.1875,P
1285200,0.63457,0.1875,F
1288800,0.63457,0.1875,F
1292400,0.63457,0.1875,F
1296000,0.63457,0.1875,F
1299600,0.63457,0.1875,F
1303200,0.28359,0.1875,V
1306800,0.28359,0.1875,V
1310400,0.28359,0.1875,V
1314000,0.28359,0.1875,V
1317600,0.63457,0.1875,F
1321200,0.98555,0.1875,P
1324800,0.98555,0.1875,P
1328400,0.63457,0.1875,F
1332000,0.28359,0.1875,V
1335600,0.18331,0.1875,D
1339200,0.18331,0.1875,D
1342800,0.18331,0.1875,D
1346400,0.28359,0.1875,V
1350000,0.63457,0.1875,F
1353600,1.13597,0.1875,S
1357200,1.13597,0.1875,S
1360800,1.13597,0.1875,S
1364400,0.98555,0.1875,P
1368000,0.98555,0.1875,P
1371600,0.63457,0.1875,F
1375200,0.63457,0.1875,F
1378800,0.63457,0.1875,F
1382400,0.63457,0.1875,F
1386000,0.63457,0.1875,F
1389600,0.28359,0.1875,V
1393200,0.28359,0.1875,V
1396800,0.28359,0.1875,V
1400400,0.28359,0.1875,V
1404000,0.63457,0.1875,F
1407600,0.98555,0.1875,P
1411200,0.98555,0.1875,P
1414800,0.63457,0.1875,F
1418400,0.28359,0.1875,V
1422000,0.18331,0.1875,D
1425600,0.18331,0.1875,D
1429200,0.18331,0.1875,D
1432800,0.28359,0.1875,V
1436400,0.63457,0.1875,F
1440000,1.13597,0.1875,S
1443600,1.13597,0.1875,S
1447200,1.13597,0.1875,S
1450800,0.98555,0.1875,P
1454400,0.98555,0.1875,P
1458000,0.63457,0.1875,F
